"time","electro_Mechanical_Model.omega","electro_Mechanical_Model.theta","thermal_model.MainBody.T","thermal_model.Panel1.T","thermal_model.Radiator1.T","electro_Mechanical_Model.resistor.i"
7.748313222843479,-7.57445716866103e-10,-0.8446867580850949,294.15000005941505,322.3396601624104,290.8233384580862,2.308039781481034e-6
7.8,7.652457453955017e-6,-0.8439733761649737,294.1882660547495,322.3700410335095,290.85482005046595,2.260490769027773e-6
7.9,2.189178888876001e-5,-0.8386355106225992,294.2594624908433,322.42685542053454,290.8832504842846,2.1278441069237495e-6
8,3.51157399804718e-5,-0.8283405449899175,294.32558194324906,322.48000342089927,290.86970585218893,1.9460137363889274e-6
8.1,4.701983565004126e-5,-0.8135130455176006,294.3851020473515,322.52824770018333,290.8160462798837,1.7214675731085326e-6
8.2,5.734998589808207e-5,-0.7946756027524121,294.43675236551036,322.57054274773867,290.7251961316578,1.4616195870806967e-6
8.3,6.590383887029301e-5,-0.7724332341651515,294.4795211519842,322.60604160139377,290.6009915173548,1.1745879306993273e-6
8.4,7.253261892095584e-5,-0.7474540561518144,294.51266454276134,322.63410480537016,290.44799720137314,8.689025883231424e-7
8.5,7.71433932417342e-5,-0.7204498725769375,294.53571788822353,322.654311070988,290.2713302563591,5.532177634748002e-7
8.6,7.969888234716896e-5,-0.6921558179661327,294.54849480511257,322.66645826101967,290.0764703018369,2.3603506828280944e-7
8.7,8.021544089461384e-5,-0.6633109385846816,294.551077080224,322.6705570132846,289.86907625045615,-7.454108717976312e-8
8.8,7.876113227894455e-5,-0.6346378306009411,294.54380504299326,322.66682474452585,289.6548137154702,-3.710330276236025e-7
8.9,7.544937340831421e-5,-0.6068274420760582,294.52724578916866,322.6556615738166,289.4392154045546,-6.467164602942437e-7
9,7.043475719199229e-5,-0.5805214047921082,294.50217229296885,322.63763510013735,289.2275315824628,-8.957882757099402e-7
9.1,6.390621917974508e-5,-0.556299041674314,294.4695292401675,322.61345413987743,289.0246269483286,-1.113433130947766e-6
9.2,5.608001213995672e-5,-0.5346680216356076,294.43039790097816,322.58394136262376,288.8349180257994,-1.295828321285119e-6
