"time","electro_Mechanical_Model.angleSensor.phi","electro_Mechanical_Model.inertia.w","electro_Mechanical_Model.resistor.i","thermal_model.MainBody.T","thermal_model.Panel1.T","thermal_model.Radiator1.T"
35.15592942141978,-0.6301755957960978,-7.967055299651907e-4,0.007352309128857699,294.14601648460354,322.35186840778124,289.2484188714948
35.16618793598687,-0.6302049272459649,-7.917241940421971e-4,0.007634265735645252,294.1460413917536,322.3518860967499,289.2486526444989
35.17644645055396,-0.6302340712823783,-7.865564034051899e-4,0.007913260881540849,294.14606723117214,322.3519045379598,289.2488859519843
35.18670496512105,-0.6302630210566009,-7.812041498910695e-4,0.008189233683377815,294.1460939928997,322.351923723996,289.24911873545005
35.196963479688144,-0.6302917697938023,-7.756694656531194e-4,0.00846212583577961,294.14612166677523,322.3519436472777,289.2493509367343
35.207221994255235,-0.6303203107943226,-7.699544227191633e-4,0.00873186715243129,294.14615024243943,322.3519643000622,289.2495824980266
35.21748050882233,-0.6303486374367882,-7.640611324200094e-4,0.008998399676466151,294.14617970933523,322.3519856744444,289.2498133618907
35.22773902338941,-0.6303767431777751,-7.579917443662223e-4,0.00926166821805966,294.14621005671444,322.3520077623622,289.2500434712684
35.2379975379565,-0.6304046215539986,-7.517484459866049e-4,0.00952162024995418,294.1462412736396,322.35203055559776,289.25027276949675
35.248256052523594,-0.6304322661843501,-7.453334621049345e-4,0.009778200531389012,294.1462733489866,322.35205404577965,289.25050120032586
35.258514567090685,-0.6304596707692953,-7.387490535059444e-4,0.010031351304777655,294.1463062714515,322.3520782243881,289.25072870792025
35.26877308165778,-0.6304868290946158,-7.319975170550263e-4,0.010281020261608535,294.14634002954983,322.3521030827541,289.2509552368855
35.27903159622487,-0.6305137350312976,-7.250811844989922e-4,0.010527155035104244,294.14637461162283,322.3521286120649,289.2511807322732
35.28929011079196,-0.630540382536314,-7.180024215844529e-4,0.010769705726138704,294.1464100058416,322.3521548033664,289.251405139591
35.29954862535905,-0.6305667656557236,-7.107636279038794e-4,0.01100862220704888,294.14644620020823,322.3521816475642,289.25162840482494
35.30980713992614,-0.6305928785241552,-7.033672356502977e-4,0.011243855656990735,294.14648318256155,322.35220913542884,289.2518504744422
35.32006565449323,-0.6306187153665381,-6.958157090215839e-4,0.011475358214804512,294.14652094058056,322.3522372575973,289.252071295406
35.33032416906032,-0.6306442705001807,-6.881115436881481e-4,0.011703083419054313,294.14655946178686,322.35226600457537,289.2522908151932
35.34058268362741,-0.6306695383339664,-6.802572656171589e-4,0.011926985999486387,294.1465987335503,322.35229536674245,289.2525089817943
35.3508411981945,-0.6306945133715504,-6.722554307447468e-4,0.012147021717110327,294.1466387430914,322.3523253343525,289.2527257437374
35.36109971276159,-0.6307191902114874,-6.641086240208802e-4,0.012363147499490974,294.1466794774852,322.3523558975376,289.2529410500945
35.371358227328685,-0.6307435635473684,-6.558194584684655e-4,0.012575321384956525,294.1467209236665,322.3523870463123,289.25315485048606
35.381616741895776,-0.6307676281710204,-6.473905748213933e-4,0.012783502629551866,294.1467630684317,322.3524187705741,289.2533670951061
35.39187525646287,-0.6307913789716622,-6.388246403837216e-4,0.01298765167268104,294.1468058984442,322.3524510601084,289.2535777347217
35.40213377102996,-0.6308148109372033,-6.301243483044924e-4,0.013187730167095613,294.14684940023807,322.3524839045914,289.25378672068547
35.41239228559704,-0.6308379191564325,-6.21292417047066e-4,0.013383700937325868,294.146893560221,322.35251729359146,289.2539940049538
35.422650800164135,-0.6308606988178527,-6.123315892244448e-4,0.013575527895109173,294.1469383646799,322.3525512165748,289.25419954008447
35.432909314731226,-0.630883145212424,-6.032446311030796e-4,0.013763176195192312,294.1469837997832,322.3525856629063,289.2544032792578
35.44316782929832,-0.6309052537338813,-5.940343317263427e-4,0.013946612194548179,294.1470298515858,322.3526206218533,289.2546051762843
35.45342634386541,-0.6309270198782508,-5.847035019573294e-4,0.01412580352747623,294.1470765060332,322.3526560825899,289.2548051856046
35.4636848584325,-0.6309484392470606,-5.752549739610785e-4,0.014300718968916963,294.14712374896476,322.352692034198,289.2550032623157
35.47394337299959,-0.6309695075462451,-5.656916001804068e-4,0.01447132852748416,294.147171566118,322.3527284656719,289.2551993621677
35.484201887566684,-0.6309902205869854,-5.56016252537188e-4,0.01463760342082752,294.14721994313334,322.35276536592124,289.25539344157346
35.494460402133775,-0.631010574287941,-5.462318218020076e-4,0.01479951611488539,294.1472688655569,322.3528027237736,289.2555854576277
35.50471891670086,-0.6310305646737996,-5.36341216547778e-4,0.014957040251684475,294.1473183188458,322.3528405279784,289.25577536810226
35.51497743126795,-0.6310501878774984,-5.263473624937037e-4,0.01511015071033756,294.1473682883713,322.3528787672094,289.2559631314639
35.52523594583504,-0.631069440140741,-5.16253201681497e-4,0.01525882360227,294.14741875942303,322.3529174300683,289.2561487068829
35.535494460402134,-0.6310883178128999,-5.060616915637786e-4,0.015403036235952473,294.14746971721394,322.35295650508795,289.25633205422906
35.545752974969226,-0.6311068173542058,-4.957758043178238e-4,0.015542767158243131,294.14752114688304,322.3529959807353,289.2565131340982
35.55601148953632,-0.6311249353344134,-4.8539852592620087e-4,0.015677996176651134,294.14757303350046,322.35303584541464,289.2566919078064
35.56627000410341,-0.6311426684331771,-4.749328553329056e-4,0.01580870441921954,294.1476253620713,322.3530760874712,289.25686833739724
